Name,Account.Name,StageName,Amount,CloseDate,Type,LeadSource
Nordvik Platform Upgrade,Nordvik Solutions,Closed Won,125000,2026-02-15,Existing Customer - Upgrade,Web
Greenfield Fleet Tracking System,Greenfield Logistics,Negotiation/Review,340000,2026-06-30,New Customer,Trade Show
Maple & Oak Annual Retainer,Maple & Oak Consulting,Closed Won,85000,2026-01-10,Existing Customer - Renewal,Partner Referral
Solaris Wind Farm Phase 2,Solaris Energy Group,Proposal/Price Quote,520000,2026-08-15,New Customer,Web
TechBridge AI Integration,TechBridge Labs,Qualification,95000,2026-09-01,New Customer,Web
Havnekraft Hull Sensors,Havnekraft Marine,Needs Analysis,210000,2026-07-20,New Customer,Trade Show
Blue Horizon Booking Platform,Blue Horizon Travel,Closed Won,68000,2026-03-01,Existing Customer - Upgrade,Partner Referral
Pinnacle Risk Dashboard,Pinnacle Financial Group,Negotiation/Review,175000,2026-05-31,New Customer,Web
Dansk Medicin Trial Management,Dansk Medicin A/S,Proposal/Price Quote,290000,2026-07-15,New Customer,Other
Redwood POS Modernization,Redwood Retail Co,Qualification,55000,2026-10-01,Existing Customer - Upgrade,Web
CloudNine Enterprise License,CloudNine Software,Closed Won,150000,2026-01-20,Existing Customer - Renewal,Phone Inquiry
Veloce Dealer Portal,Veloce Motors Italia,Needs Analysis,185000,2026-08-30,New Customer,Trade Show
Harbour Shipping Route Optimizer,Harbour Shipping Ltd,Proposal/Price Quote,410000,2026-06-15,New Customer,Partner Referral
Summit Learning Management System,Summit Education Group,Negotiation/Review,72000,2026-05-15,New Customer,Web
Ørsted Lab Information System,Ørsted Biotech,Qualification,230000,2026-09-30,New Customer,Trade Show
Pacific Fresh Supply Chain,Pacific Fresh Foods,Closed Won,98000,2026-03-20,Existing Customer - Upgrade,Phone Inquiry
Lumen Media CMS Overhaul,Lumen Media Group,Needs Analysis,115000,2026-07-01,New Customer,Web
Andersen Textiles ERP,Andersen Textiles,Proposal/Price Quote,365000,2026-08-01,New Customer,Trade Show
Baltica Claims Automation,Baltica Insurance,Negotiation/Review,245000,2026-06-01,New Customer,Partner Referral
Kensington Property Portal,Kensington Properties,Qualification,88000,2026-10-15,New Customer,Web
