Id,Name,StageName,Amount,CloseDate,AccountId,Description
006Vc00000KMh62IAD,Nordvik Platform Upgrade,Qualification,125000,2026-06-15,001Vc00000YDuSbIAL,
006Vc00000KMh63IAD,Greenfield Fleet Tracking,Negotiation/Review,340000,2026-06-30,001Vc00000YDuScIAL,
006Vc00000KMh64IAD,Maple Oak Annual Retainer,Needs Analysis,85000,2026-07-10,001Vc00000YDZVyIAP,
006Vc00000KMh65IAD,Solaris Wind Farm Phase 2,Proposal/Price Quote,520000,2026-08-15,001Vc00000YDuSdIAL,
006Vc00000KMh66IAD,TechBridge AI Integration,Qualification,95000,2026-09-01,001Vc00000YDuSeIAL,
006Vc00000KMh67IAD,Havnekraft Hull Sensors,Needs Analysis,210000,2026-07-20,001Vc00000YDuSfIAL,
006Vc00000KMh68IAD,Blue Horizon Booking Platform,Proposal/Price Quote,68000,2026-08-01,001Vc00000YDuSgIAL,
006Vc00000KMh69IAD,Pinnacle Risk Dashboard,Negotiation/Review,175000,2026-05-31,001Vc00000YDuShIAL,
006Vc00000KMh6AIAT,Dansk Medicin Trial Mgmt,Proposal/Price Quote,290000,2026-07-15,001Vc00000YDuSiIAL,
006Vc00000KMh6BIAT,Redwood POS Modernization,Qualification,55000,2026-10-01,001Vc00000YDuSjIAL,
