Id,Subject,Status,Priority,WhoId,WhatId,ActivityDate,Description
00TVc00000HcRTdMAN,Quarterly Business Review,Completed,Normal,,001Vc00000YDuSbIAL,2026-03-27,
00TVc00000HcRTeMAN,Follow-up call,Completed,Normal,,001Vc00000YDuSbIAL,2026-04-03,
00TVc00000HcRTfMAN,Contract renewal discussion,Completed,Normal,,001Vc00000YDZVyIAP,2026-03-27,
00TVc00000HcRTgMAN,Follow-up call,Completed,Normal,,001Vc00000YDZVyIAP,2026-04-03,
00TVc00000HcRThMAN,Technical requirements review,Completed,Normal,,001Vc00000YDuSeIAL,2026-03-27,
00TVc00000HcRTiMAN,Follow-up call,Completed,Normal,,001Vc00000YDuSeIAL,2026-04-03,
00TVc00000HcRTjMAN,Annual compliance check,Completed,Normal,,001Vc00000YDuShIAL,2026-03-27,
00TVc00000HcRTkMAN,Follow-up call,Completed,Normal,,001Vc00000YDuShIAL,2026-04-03,
00TVc00000HcRTlMAN,Site inspection report,Completed,Normal,,001Vc00000YDuSkIAL,2026-03-27,
00TVc00000HcRTmMAN,Follow-up call,Completed,Normal,,001Vc00000YDuSkIAL,2026-04-03,
00TVc00000HcRTnMAN,Vendor evaluation,Completed,Normal,,001Vc00000YDuSlIAL,2026-03-27,
00TVc00000HcRToMAN,Follow-up call,Completed,Normal,,001Vc00000YDuSlIAL,2026-04-03,
00TVc00000HcRTpMAN,Prepare proposal,Not Started,High,,001Vc00000YDuScIAL,2026-04-17,
00TVc00000HcRTqMAN,Send partnership overview,Not Started,High,,001Vc00000YDuSdIAL,2026-04-20,
00TVc00000HcRTrMAN,Draft service agreement,Not Started,High,,001Vc00000YDuSfIAL,2026-04-20,
00TVc00000HcRTsMAN,Coordinate pilot program,Not Started,High,,001Vc00000YDuSgIAL,2026-04-20,
00TVc00000HcRTtMAN,Finalize budget proposal,Not Started,High,,001Vc00000YDuSiIAL,2026-04-21,
00TVc00000HcRTuMAN,Security assessment,Not Started,High,,001Vc00000YDuSjIAL,2026-04-22,
00TVc00000HcRTvMAN,Onboarding checklist,Not Started,High,,001Vc00000YDuSnIAL,2026-04-23,
00TVc00000HcRTwMAN,Schedule training session,Not Started,High,,001Vc00000YDuSoIAL,2026-04-24,
